Job Statistics for Job ID 883055:
JobID           JobName  Partition     MaxRSS  MaxVMSize    Elapsed      State 
------------ ---------- ---------- ---------- ---------- ---------- ---------- 
883055             bash       EPYC                         00:14:18    RUNNING 
883055.batch      batch                                    00:14:18    RUNNING 
883055.exte+     extern                                    00:14:18    RUNNING 
883055.0          orted                                    00:00:01  COMPLETED 
883055.1          orted                                    00:00:02  COMPLETED 
883055.2          orted                                    00:00:03  COMPLETED 
883055.3          orted                                    00:00:03  COMPLETED 
883055.4          orted                                    00:00:04  COMPLETED 
883055.5          orted                                    00:00:05  COMPLETED 
883055.6          orted                                    00:00:06  COMPLETED 
883055.7          orted                                    00:00:07  COMPLETED 
883055.8          orted                                    00:00:08  COMPLETED 
883055.9          orted                                    00:00:08  COMPLETED 
883055.10         orted                                    00:00:09  COMPLETED 
883055.11         orted                                    00:00:10  COMPLETED 
883055.12         orted                                    00:00:11  COMPLETED 
883055.13         orted                                    00:00:12  COMPLETED 
883055.14         orted                                    00:00:13  COMPLETED 
883055.15         orted                                    00:00:14  COMPLETED 
883055.16         orted                                    00:00:15  COMPLETED 
883055.17         orted                                    00:00:16  COMPLETED 
883055.18         orted                                    00:00:17  COMPLETED 
883055.19         orted                                    00:00:18  COMPLETED 
883055.20         orted                                    00:00:19  COMPLETED 
883055.21         orted                                    00:00:20  COMPLETED 
883055.22         orted                                    00:00:22  COMPLETED 
883055.23         orted                                    00:00:23  COMPLETED 
883055.24         orted                                    00:00:24  COMPLETED 
883055.25         orted                                    00:00:25  COMPLETED 
883055.26         orted                                    00:00:26  COMPLETED 
883055.27         orted                                    00:00:27  COMPLETED 
883055.28         orted                                    00:00:29  COMPLETED 
883055.29         orted                                    00:00:30  COMPLETED 
883055.30         orted                                    00:00:32  COMPLETED 
883055.31         orted                                    00:00:33  COMPLETED 
883055.32         orted                                    00:00:34  COMPLETED 
883055.33         orted                                    00:00:36  COMPLETED 
883055.34         orted                                    00:00:37  COMPLETED 
883055.35         orted                                    00:00:38  COMPLETED 
883055.36         orted                                    00:00:40  COMPLETED 
883055.37         orted                                    00:00:42  COMPLETED 
883055.38         orted                                    00:00:43  COMPLETED 
883055.39         orted                                    00:00:45  COMPLETED 
883055.40         orted                                    00:00:47  COMPLETED 
883055.41         orted                                    00:00:48  COMPLETED 
883055.42         orted                                    00:00:50  COMPLETED 
883055.43         orted                                    00:00:52  COMPLETED 
883055.44         orted                                    00:00:54  COMPLETED 
883055.45         orted                                    00:00:55  COMPLETED 
883055.46         orted                                    00:00:57  COMPLETED 
883055.47         orted                                    00:00:59  COMPLETED 
883055.48         orted                                    00:01:01  COMPLETED 
883055.49         orted                                    00:01:03  COMPLETED 
883055.50         orted                                    00:01:05  COMPLETED 
883055.51         orted                                    00:01:07  COMPLETED 
883055.52         orted                                    00:01:09  COMPLETED 
883055.53         orted                                    00:01:11  COMPLETED 
883055.54         orted                                    00:01:13  COMPLETED 
883055.55         orted                                    00:01:15  COMPLETED 
883055.56         orted                                    00:01:18  COMPLETED 
883055.57         orted                                    00:01:20  COMPLETED 
883055.58         orted                                    00:01:22  COMPLETED 
883055.59         orted                                    00:01:24  COMPLETED 
883055.60         orted                                    00:01:26  COMPLETED 
883055.61         orted                                    00:01:28  COMPLETED 
883055.62         orted                                    00:01:31  COMPLETED 
883055.63         orted                                    00:01:33  COMPLETED 
883055.64         orted                                    00:01:35  COMPLETED 
883055.65         orted                                    00:01:38  COMPLETED 
883055.66         orted                                    00:01:40  COMPLETED 
883055.67         orted                                    00:01:43  COMPLETED 
883055.68         orted                                    00:01:45  COMPLETED 
883055.69         orted                                    00:01:48  COMPLETED 
883055.70         orted                                    00:01:50  COMPLETED 
883055.71         orted                                    00:01:52  COMPLETED 
883055.72         orted                                    00:01:55  COMPLETED 
883055.73         orted                                    00:01:57  COMPLETED 
883055.74         orted                                    00:02:00  COMPLETED 
883055.75         orted                                    00:02:02  COMPLETED 
883055.76         orted                                    00:02:05  COMPLETED 
883055.77         orted                                    00:02:08  COMPLETED 
883055.78         orted                                    00:02:11  COMPLETED 
883055.79         orted                                    00:02:13  COMPLETED 
883055.80         orted                                    00:02:16  COMPLETED 
883055.81         orted                                    00:02:19  COMPLETED 
883055.82         orted                                    00:02:22  COMPLETED 
883055.83         orted                                    00:02:25  COMPLETED 
883055.84         orted                                    00:02:27  COMPLETED 
883055.85         orted                                    00:02:31  COMPLETED 
883055.86         orted                                    00:02:33  COMPLETED 
883055.87         orted                                    00:02:36  COMPLETED 
883055.88         orted                                    00:02:39  COMPLETED 
883055.89         orted                                    00:02:42  COMPLETED 
883055.90         orted                                    00:02:46  COMPLETED 
883055.91         orted                                    00:02:49  COMPLETED 
883055.92         orted                                    00:02:52  COMPLETED 
883055.93         orted                                    00:02:55  COMPLETED 
883055.94         orted                                    00:02:58  COMPLETED 
883055.95         orted                                    00:03:02  COMPLETED 
883055.96         orted                                    00:03:05  COMPLETED 
883055.97         orted                                    00:03:08  COMPLETED 
883055.98         orted                                    00:03:12  COMPLETED 
883055.99         orted                                    00:03:16  COMPLETED 
883055.100        orted                                    00:03:19  COMPLETED 
883055.101        orted                                    00:03:23  COMPLETED 
883055.102        orted                                    00:03:26  COMPLETED 
883055.103        orted                                    00:03:29  COMPLETED 
883055.104        orted                                    00:03:33  COMPLETED 
883055.105        orted                                    00:03:37  COMPLETED 
883055.106        orted                                    00:03:40  COMPLETED 
883055.107        orted                                    00:03:43  COMPLETED 
883055.108        orted                                    00:03:47  COMPLETED 
883055.109        orted                                    00:03:50  COMPLETED 
883055.110        orted                                    00:03:54  COMPLETED 
883055.111        orted                                    00:03:58  COMPLETED 
883055.112        orted                                    00:04:02  COMPLETED 
883055.113        orted                                    00:04:05  COMPLETED 
883055.114        orted                                    00:04:09  COMPLETED 
883055.115        orted                                    00:04:13  COMPLETED 
883055.116        orted                                    00:04:17  COMPLETED 
883055.117        orted                                    00:04:21  COMPLETED 
883055.118        orted                                    00:04:25  COMPLETED 
883055.119        orted                                    00:04:29  COMPLETED 
883055.120        orted                                    00:04:34  COMPLETED 
883055.121        orted                                    00:04:38  COMPLETED 
883055.122        orted                                    00:04:42  COMPLETED 
883055.123        orted                                    00:04:46  COMPLETED 
883055.124        orted                                    00:04:50  COMPLETED 
883055.125        orted                                    00:04:54  COMPLETED 
883055.126        orted                                    00:04:59  COMPLETED 
883055.127        orted                                    00:05:03  COMPLETED 
883055.128        orted                                    00:05:07  COMPLETED 
883055.129        orted                                    00:05:11  COMPLETED 
883055.130        orted                                    00:05:15  COMPLETED 
883055.131        orted                                    00:05:20  COMPLETED 
883055.132        orted                                    00:05:24  COMPLETED 
883055.133        orted                                    00:05:28  COMPLETED 
883055.134        orted                                    00:05:32  COMPLETED 
883055.135        orted                                    00:05:36  COMPLETED 
883055.136        orted                                    00:05:41  COMPLETED 
883055.137        orted                                    00:05:45  COMPLETED 
883055.138        orted                                    00:05:49  COMPLETED 
883055.139        orted                                    00:05:53  COMPLETED 
883055.140        orted                                    00:05:57  COMPLETED 
883055.141        orted                                    00:06:02  COMPLETED 
883055.142        orted                                    00:06:06  COMPLETED 
883055.143        orted                                    00:06:10  COMPLETED 
883055.144        orted                                    00:06:14  COMPLETED 
883055.145        orted                                    00:06:18  COMPLETED 
883055.146        orted                                    00:06:23  COMPLETED 
883055.147        orted                                    00:06:27  COMPLETED 
883055.148        orted                                    00:06:32  COMPLETED 
883055.149        orted                                    00:06:36  COMPLETED 
883055.150        orted                                    00:06:40  COMPLETED 
883055.151        orted                                    00:06:44  COMPLETED 
883055.152        orted                                    00:06:48  COMPLETED 
883055.153        orted                                    00:06:53  COMPLETED 
883055.154        orted                                    00:06:57  COMPLETED 
883055.155        orted                                    00:07:01  COMPLETED 
883055.156        orted                                    00:07:05  COMPLETED 
883055.157        orted                                    00:07:09  COMPLETED 
883055.158        orted                                    00:07:14  COMPLETED 
883055.159        orted                                    00:07:18  COMPLETED 
883055.160        orted                                    00:07:22  COMPLETED 
883055.161        orted                                    00:07:26  COMPLETED 
883055.162        orted                                    00:07:30  COMPLETED 
883055.163        orted                                    00:07:35  COMPLETED 
883055.164        orted                                    00:07:39  COMPLETED 
883055.165        orted                                    00:07:43  COMPLETED 
883055.166        orted                                    00:07:48  COMPLETED 
