Processes,Size,Latency
2,2,0.15
2,4,0.15
2,8,0.15
2,16,0.15
2,32,0.15
2,64,0.15
2,128,0.22
2,256,0.21
2,512,0.23
2,1024,0.26
2,2048,0.31
2,4096,0.42
2,8192,0.66
2,16384,1.30
2,32768,2.31
2,65536,4.32
2,131072,8.31
2,262144,27.87
4,2,0.13
4,4,0.14
4,8,0.14
4,16,0.13
4,32,0.14
4,64,0.14
4,128,0.26
4,256,0.28
4,512,0.31
4,1024,0.37
4,2048,0.48
4,4096,0.74
4,8192,1.35
4,16384,2.31
4,32768,4.35
4,65536,8.49
4,131072,16.12
4,262144,61.19
8,2,0.92
8,4,0.97
8,8,0.92
8,16,0.94
8,32,1.08
8,64,1.05
8,128,1.57
8,256,1.67
8,512,1.76
8,1024,1.93
8,2048,2.50
8,4096,3.59
8,8192,4.84
8,16384,8.79
8,32768,16.13
8,65536,30.71
8,131072,60.31
8,262144,132.35
16,2,1.64
16,4,1.61
16,8,1.60
16,16,1.61
16,32,1.81
16,64,1.83
16,128,3.14
16,256,3.28
16,512,3.45
16,1024,4.06
16,2048,5.72
16,4096,8.07
16,8192,11.33
16,16384,20.77
16,32768,40.40
16,65536,76.98
16,131072,149.13
16,262144,256.61
32,2,3.18
32,4,3.27
32,8,3.34
32,16,3.26
32,32,3.38
32,64,3.55
32,128,6.97
32,256,7.41
32,512,7.76
32,1024,8.38
32,2048,12.37
32,4096,17.25
32,8192,24.29
32,16384,46.26
32,32768,87.99
32,65536,166.59
32,131072,324.37
32,262144,602.99
64,2,5.99
64,4,5.33
64,8,5.58
64,16,5.60
64,32,5.97
64,64,6.45
64,128,15.07
64,256,15.64
64,512,15.47
64,1024,17.98
64,2048,27.00
64,4096,36.92
64,8192,62.14
64,16384,101.85
64,32768,197.07
64,65536,376.46
64,131072,744.73
64,262144,1317.08
128,2,15.51
128,4,16.35
128,8,15.78
128,16,15.91
128,32,16.90
128,64,16.40
128,128,38.55
128,256,38.91
128,512,39.33
128,1024,41.68
128,2048,66.98
128,4096,88.56
128,8192,142.35
128,16384,292.55
128,32768,553.23
128,65536,976.80
128,131072,2012.31
128,262144,5053.31
256,2,34.26
256,4,34.19
256,8,34.45
256,16,35.01
256,32,36.46
256,64,36.85
256,128,73.74
256,256,79.08
256,512,80.02
256,1024,89.41
256,2048,124.52
256,4096,161.86
256,8192,241.63
256,16384,463.34
256,32768,896.42
256,65536,1824.34
256,131072,3771.15
256,262144,5233.21
