Processes,Size,Latency
2,2,0.16
2,4,0.16
2,8,0.16
2,16,0.15
2,32,0.16
2,64,0.16
2,128,0.22
2,256,0.22
2,512,0.24
2,1024,0.27
2,2048,0.33
2,4096,0.44
2,8192,0.69
2,16384,1.30
2,32768,2.38
2,65536,4.42
2,131072,8.53
2,262144,26.35
4,2,0.20
4,4,0.20
4,8,0.20
4,16,0.21
4,32,0.21
4,64,0.26
4,128,0.33
4,256,0.36
4,512,0.38
4,1024,0.47
4,2048,0.63
4,4096,1.00
4,8192,1.71
4,16384,3.08
4,32768,5.88
4,65536,11.19
4,131072,38.59
4,262144,92.91
8,2,0.77
8,4,0.76
8,8,0.82
8,16,0.79
8,32,0.95
8,64,1.19
8,128,1.30
8,256,1.43
8,512,1.82
8,1024,2.26
8,2048,3.30
8,4096,5.34
8,8192,8.49
8,16384,15.21
8,32768,28.81
8,65536,53.61
8,131072,134.65
8,262144,240.57
16,2,1.12
16,4,1.23
16,8,1.34
16,16,1.61
16,32,1.57
16,64,1.89
16,128,2.02
16,256,2.53
16,512,3.32
16,1024,4.81
16,2048,7.47
16,4096,12.82
16,8192,21.03
16,16384,39.48
16,32768,67.49
16,65536,142.04
16,131072,294.98
16,262144,603.73
32,2,1.64
32,4,1.75
32,8,1.88
32,16,2.16
32,32,2.39
32,64,2.76
32,128,3.31
32,256,4.28
32,512,5.92
32,1024,9.00
32,2048,14.84
32,4096,23.52
32,8192,43.10
32,16384,86.04
32,32768,174.54
32,65536,341.10
32,131072,701.11
32,262144,1371.59
64,2,1.71
64,4,1.97
64,8,2.35
64,16,2.77
64,32,3.06
64,64,3.48
64,128,4.52
64,256,6.36
64,512,9.71
64,1024,16.17
64,2048,28.95
64,4096,48.39
64,8192,93.75
64,16384,194.29
64,32768,391.05
64,65536,747.86
64,131072,1501.79
64,262144,2832.24
128,2,2.70
128,4,3.14
128,8,4.08
128,16,5.58
128,32,8.22
128,64,11.45
128,128,13.17
128,256,13.24
128,512,21.83
128,1024,38.41
128,2048,71.78
128,4096,110.46
128,8192,229.06
128,16384,564.21
128,32768,929.41
128,65536,1661.12
128,131072,3242.90
128,262144,6384.38
256,2,1.79
256,4,2.33
256,8,2.65
256,16,3.19
256,32,4.40
256,64,6.54
256,128,10.43
256,256,15.62
256,512,26.56
256,1024,47.85
256,2048,99.80
256,4096,156.24
256,8192,386.59
256,16384,677.04
256,32768,1205.27
256,65536,2317.91
256,131072,4437.14
256,262144,26530.04
