Processes,Size,Latency
2,2,0.15
2,4,0.15
2,8,0.15
2,16,0.15
2,32,0.15
2,64,0.15
2,128,0.21
2,256,0.21
2,512,0.22
2,1024,0.24
2,2048,0.31
2,4096,0.39
2,8192,0.56
2,16384,2.34
2,32768,4.14
2,65536,5.53
2,131072,9.44
2,262144,21.41
4,2,0.17
4,4,0.17
4,8,0.17
4,16,0.17
4,32,0.18
4,64,0.17
4,128,0.30
4,256,0.28
4,512,0.33
4,1024,0.37
4,2048,0.49
4,4096,0.69
4,8192,1.06
4,16384,3.96
4,32768,7.14
4,65536,10.03
4,131072,16.39
4,262144,34.65
8,2,0.83
8,4,0.81
8,8,0.81
8,16,0.82
8,32,0.90
8,64,0.94
8,128,1.24
8,256,1.25
8,512,1.38
8,1024,1.57
8,2048,2.16
8,4096,2.90
8,8192,4.82
8,16384,11.27
8,32768,18.65
8,65536,34.60
8,131072,65.24
8,262144,125.68
16,2,1.16
16,4,1.16
16,8,1.15
16,16,1.18
16,32,1.46
16,64,1.38
16,128,2.06
16,256,2.10
16,512,2.24
16,1024,2.57
16,2048,3.56
16,4096,5.29
16,8192,9.42
16,16384,19.50
16,32768,34.03
16,65536,63.62
16,131072,123.49
16,262144,241.72
32,2,1.77
32,4,1.79
32,8,1.77
32,16,1.77
32,32,2.02
32,64,2.04
32,128,3.09
32,256,3.12
32,512,3.34
32,1024,3.81
32,2048,5.76
32,4096,8.42
32,8192,15.46
32,16384,34.17
32,32768,61.25
32,65536,115.03
32,131072,229.20
32,262144,464.71
64,2,2.21
64,4,2.23
64,8,2.25
64,16,2.36
64,32,2.92
64,64,2.84
64,128,3.94
64,256,4.05
64,512,4.19
64,1024,4.89
64,2048,7.41
64,4096,13.71
64,8192,23.32
64,16384,59.89
64,32768,109.81
64,65536,216.76
64,131072,433.28
64,262144,869.62
128,2,3.69
128,4,3.82
128,8,3.66
128,16,3.85
128,32,4.06
128,64,4.16
128,128,6.05
128,256,6.17
128,512,6.28
128,1024,6.70
128,2048,10.03
128,4096,18.90
128,8192,35.29
128,16384,92.30
128,32768,175.91
128,65536,341.41
128,131072,662.53
128,262144,1243.51
256,2,5.56
256,4,5.48
256,8,5.53
256,16,5.62
256,32,5.99
256,64,5.98
256,128,7.32
256,256,7.80
256,512,8.37
256,1024,10.17
256,2048,15.41
256,4096,29.24
256,8192,54.66
256,16384,135.61
256,32768,299.30
256,65536,586.88
256,131072,1199.34
256,262144,2229.03
