Processes,Size,Latency
2,2,0.14
2,4,0.14
2,8,0.14
2,16,0.13
2,32,0.13
2,64,0.13
2,128,0.19
2,256,0.19
2,512,0.22
2,1024,0.24
2,2048,0.29
2,4096,0.39
2,8192,0.55
2,16384,2.27
2,32768,3.99
2,65536,5.34
2,131072,8.68
2,262144,20.21
4,2,0.13
4,4,0.12
4,8,0.12
4,16,0.13
4,32,0.13
4,64,0.13
4,128,0.25
4,256,0.26
4,512,0.28
4,1024,0.33
4,2048,0.46
4,4096,0.67
4,8192,1.08
4,16384,2.79
4,32768,4.78
4,65536,7.84
4,131072,14.99
4,262144,34.71
8,2,0.93
8,4,0.94
8,8,0.93
8,16,0.99
8,32,1.03
8,64,0.97
8,128,1.54
8,256,1.53
8,512,1.72
8,1024,1.80
8,2048,2.44
8,4096,3.42
8,8192,4.87
8,16384,6.72
8,32768,12.25
8,65536,24.37
8,131072,52.12
8,262144,122.30
16,2,1.60
16,4,1.57
16,8,1.56
16,16,1.57
16,32,1.83
16,64,1.87
16,128,3.01
16,256,3.12
16,512,3.27
16,1024,4.03
16,2048,5.63
16,4096,7.89
16,8192,10.88
16,16384,11.53
16,32768,20.23
16,65536,54.50
16,131072,111.28
16,262144,237.13
32,2,3.12
32,4,3.14
32,8,3.09
32,16,3.17
32,32,3.66
32,64,3.46
32,128,6.79
32,256,7.06
32,512,7.34
32,1024,8.59
32,2048,12.64
32,4096,17.04
32,8192,23.87
32,16384,23.19
32,32768,40.66
32,65536,107.10
32,131072,231.18
32,262144,383.01
64,2,5.70
64,4,5.27
64,8,5.51
64,16,5.32
64,32,6.61
64,64,6.63
64,128,15.08
64,256,15.70
64,512,15.57
64,1024,17.76
64,2048,27.31
64,4096,36.52
64,8192,53.23
64,16384,62.43
64,32768,93.28
64,65536,193.43
64,131072,431.72
64,262144,965.48
128,2,14.41
128,4,14.14
128,8,14.42
128,16,15.24
128,32,16.20
128,64,16.37
128,128,38.20
128,256,38.53
128,512,38.84
128,1024,41.75
128,2048,67.43
128,4096,88.79
128,8192,140.91
128,16384,127.57
128,32768,214.38
128,65536,497.79
128,131072,1220.00
128,262144,2790.46
256,2,38.00
256,4,39.04
256,8,38.20
256,16,39.65
256,32,39.35
256,64,40.72
256,128,78.75
256,256,82.31
256,512,83.10
256,1024,91.75
256,2048,132.32
256,4096,166.30
256,8192,240.10
256,16384,130.28
256,32768,216.29
256,65536,469.72
256,131072,1027.54
256,262144,2244.09
