Workers,Size,ComputeTime,IOTime,TotalTime
246,15684,0.472613,5.969900,6.447496
247,15716,0.470859,6.636895,7.110990
248,15748,0.475421,5.493102,5.971668
249,15780,0.467791,5.660047,6.131840
250,15811,0.487235,5.728084,6.219228
251,15843,0.481039,6.707496,7.192532
252,15875,0.473768,5.739352,6.216643
253,15906,0.471417,6.281923,6.757663
254,15937,0.482657,6.394723,6.880882
255,15969,0.470271,5.355385,5.829922
256,16000,0.473073,5.966214,6.439866
