Workers,Size,ComputeTime,IOTime,TotalTime
162,10000,0.275881,0.982043,1.261486
163,10000,0.273697,0.956923,1.236339
164,10000,0.272003,0.958821,1.234692
165,10000,0.268072,0.998029,1.272818
166,10000,0.268619,0.952315,1.224574
167,10000,0.267114,0.988146,1.259540
168,10000,0.264087,0.962566,1.230432
169,10000,0.262594,0.936199,1.202068
170,10000,0.260458,0.946901,1.211848
171,10000,0.258183,0.974650,1.236474
172,10000,0.258987,0.965612,1.228708
173,10000,0.257393,0.954806,1.215741
174,10000,0.254308,0.930851,1.188817
175,10000,0.256332,0.938931,1.202285
176,10000,0.253746,0.931143,1.188864
177,10000,0.251680,0.938835,1.194112
178,10000,0.251861,0.920513,1.175697
179,10000,0.251408,0.984052,1.238894
180,10000,0.248180,0.940650,1.192630
181,10000,0.247184,0.989028,1.239579
182,10000,0.246083,0.956734,1.206128
183,10000,0.241536,0.911730,1.156787
184,10000,0.242595,0.914489,1.162745
185,10000,0.242326,0.907426,1.155585
186,10000,0.242894,0.910975,1.159661
187,10000,0.238457,0.943457,1.186442
188,10000,0.239780,0.905922,1.151722
189,10000,0.239440,0.896403,1.138860
190,10000,0.234542,0.917380,1.157486
191,10000,0.235170,0.884583,1.124426
192,10000,0.234581,0.934794,1.176588
193,10000,0.231941,0.919381,1.155224
194,10000,0.226874,0.890869,1.122380
195,10000,0.225158,0.889680,1.121021
196,10000,0.223491,0.876514,1.105691
197,10000,0.223952,0.914503,1.145429
198,10000,0.216255,0.894431,1.113858
199,10000,0.216042,0.880549,1.103253
200,10000,0.216036,0.871010,1.092964
201,10000,0.215886,0.895153,1.116945
202,10000,0.210500,0.896883,1.112557
203,10000,0.210342,0.886826,1.101056
204,10000,0.210389,0.868458,1.085510
205,10000,0.211054,0.873795,1.091059
206,10000,0.207849,0.859481,1.071650
207,10000,0.207871,0.909521,1.120802
208,10000,0.207828,0.870626,1.081786
209,10000,0.206606,0.850405,1.063566
210,10000,0.202217,0.959084,1.167560
211,10000,1.332451,0.869544,2.209100
212,10000,0.202250,0.846535,1.055395
213,10000,0.202827,0.861624,1.069027
214,10000,0.202887,0.883930,1.093445
215,10000,0.199121,0.850207,1.052715
216,10000,0.199369,0.870014,1.074981
217,10000,0.199055,0.857205,1.060381
218,10000,0.198238,0.857575,1.058950
219,10000,0.198007,0.847293,1.048769
220,10000,0.193723,0.854003,1.050026
221,10000,0.194141,0.836203,1.034053
222,10000,0.194084,0.834578,1.031128
223,10000,0.194481,0.843030,1.040873
224,10000,0.190746,0.854130,1.048356
